Observation,TextUrn,Image,Comments
urn:cite:op:2015office3.1,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.2,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.3,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.4,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.5,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.6,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.7,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.8,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.9,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.10,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.11,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.12,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.13,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.14,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.15,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.16,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.17,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.18,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.19,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.20,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.21,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.22,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.23,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.24,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.25,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
urn:cite:op:2015office3.26,urn:cts:greekLit:tlg0012.tlg001.msA:PASSAGE,"IMG URN",
