Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:19.1,"urn:cite:hmt:vaimg.VA251VN-0753@0.4384,0.2073,0.4358,0.0739"
urn:cts:greekLit:tlg0012.tlg001.msA:19.2,"urn:cite:hmt:vaimg.VA251VN-0753@0.5006,0.2478,0.4199,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:19.3,"urn:cite:hmt:vaimg.VA251VN-0753@0.5047,0.2669,0.4063,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:19.4,"urn:cite:hmt:vaimg.VA251VN-0753@0.4973,0.2874,0.4114,0.021"
urn:cts:greekLit:tlg0012.tlg001.msA:19.5,"urn:cite:hmt:vaimg.VA251VN-0753@0.501,0.3058,0.415,0.0203"
urn:cts:greekLit:tlg0012.tlg001.msA:19.6,"urn:cite:hmt:vaimg.VA251VN-0753@0.5009,0.3234,0.3866,0.0219"
urn:cts:greekLit:tlg0012.tlg001.msA:19.7,"urn:cite:hmt:vaimg.VA251VN-0753@0.5035,0.34,0.398,0.0258"
urn:cts:greekLit:tlg0012.tlg001.msA:19.8,"urn:cite:hmt:vaimg.VA251VN-0753@0.5002,0.3619,0.4249,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:19.9,"urn:cite:hmt:vaimg.VA251VN-0753@0.5013,0.3816,0.412,0.0208"
urn:cts:greekLit:tlg0012.tlg001.msA:19.10,"urn:cite:hmt:vaimg.VA251VN-0753@0.4972,0.4004,0.3862,0.0266"
urn:cts:greekLit:tlg0012.tlg001.msA:19.11,"urn:cite:hmt:vaimg.VA251VN-0753@0.5002,0.4187,0.3829,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:19.12,"urn:cite:hmt:vaimg.VA251VN-0753@0.4961,0.4362,0.3921,0.0238"
urn:cts:greekLit:tlg0012.tlg001.msA:19.13,"urn:cite:hmt:vaimg.VA251VN-0753@0.4965,0.4492,0.4382,0.0333"
urn:cts:greekLit:tlg0012.tlg001.msA:19.14,"urn:cite:hmt:vaimg.VA251VN-0753@0.499,0.4711,0.428,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:19.15,"urn:cite:hmt:vaimg.VA251VN-0753@0.4969,0.4893,0.412,0.0266"
urn:cts:greekLit:tlg0012.tlg001.msA:19.16,"urn:cite:hmt:vaimg.VA251VN-0753@0.5024,0.5101,0.3984,0.0213"
urn:cts:greekLit:tlg0012.tlg001.msA:19.17,"urn:cite:hmt:vaimg.VA251VN-0753@0.5035,0.5286,0.4168,0.0232"
urn:cts:greekLit:tlg0012.tlg001.msA:19.18,"urn:cite:hmt:vaimg.VA251VN-0753@0.4995,0.5469,0.4194,0.0266"
urn:cts:greekLit:tlg0012.tlg001.msA:19.19,"urn:cite:hmt:vaimg.VA251VN-0753@0.5046,0.5657,0.4316,0.0277"
urn:cts:greekLit:tlg0012.tlg001.msA:19.20,"urn:cite:hmt:vaimg.VA251VN-0753@0.5065,0.5828,0.4183,0.0249"
urn:cts:greekLit:tlg0012.tlg001.msA:19.21,"urn:cite:hmt:vaimg.VA251VN-0753@0.5039,0.5991,0.4297,0.0299"
urn:cts:greekLit:tlg0012.tlg001.msA:19.22,"urn:cite:hmt:vaimg.VA251VN-0753@0.5072,0.6185,0.426,0.0302"
urn:cts:greekLit:tlg0012.tlg001.msA:19.23,"urn:cite:hmt:vaimg.VA251VN-0753@0.5002,0.6408,0.4305,0.0258"
urn:cts:greekLit:tlg0012.tlg001.msA:19.24,"urn:cite:hmt:vaimg.VA251VN-0753@0.505,0.6594,0.3921,0.0208"
urn:cts:greekLit:tlg0012.tlg001.msA:19.25,"urn:cite:hmt:vaimg.VA251VN-0753@0.505,0.6777,0.399,0.027"
